EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAMOV;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FEPAGO
JUAN CARLOS RENDON;ZC004;CASETA EL TRAILER;CALLE 3 A N?  18-28 LA PRADERA;CASTRA01;28/02/2011;3;1;0;0;1200;1;2400;2400;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;CASETA EL TRAILER;CALLE 3 A N?  18-28 LA PRADERA;CASTRA01;07/03/2011;3;0;0;0;1200;0;0;2400;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;DROGUERIA REINEL;CL 103 #35 03;DROREI01;28/02/2011;4;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;DROGUERIA REINEL;CL 103 #35 03;DROREI01;07/03/2011;4;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;HECTOR BERRIO SUAREZ;KIOSCO CRA 35 N-100 C;HECBER01;28/02/2011;5;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;HECTOR BERRIO SUAREZ;KIOSCO CRA 35 N-100 C;HECBER01;07/03/2011;5;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;MISCELANEA DO�A INES;KRA. 35  N? 100-65;MISINE01;28/02/2011;5;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;MISCELANEA DO�A INES;KRA. 35  N? 100-65;MISINE01;07/03/2011;5;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;MISCELANEA DON VICTOR;CRA 5 # 7-12 MIS. DON VICTOR;MISVIC01;21/02/2011;5;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;MISCELANEA DON VICTOR;CRA 5 # 7-12 MIS. DON VICTOR;MISVIC01;28/02/2011;5;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;MISCELANEA DON VICTOR;CRA 5 # 7-12 MIS. DON VICTOR;MISVIC01;07/03/2011;5;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;MISCELANEA LOS CORALES;CRA 42 # 67 C 06;MISCOR01;28/02/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;MISCELANEA LOS CORALES;CRA 42 # 67 C 06;MISCOR01;07/03/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;RANCHO Y LICORES LA ENEA;KILOMETRO13 VIA AL MAGDALENA;RANLIC01;28/02/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;RANCHO Y LICORES LA ENEA;KILOMETRO13 VIA AL MAGDALENA;RANLIC01;07/03/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;RAPITIENDA EL CRUCERITO;CRA 5 N?  12-02;RAPCRU01;28/02/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;RAPITIENDA EL CRUCERITO;CRA 5 N?  12-02;RAPCRU01;07/03/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;TIENDA MIXTA LA 40;CRA. 40 67A-10;TIE4001;28/02/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;TIENDA MIXTA LA 40;CRA. 40 67A-10;TIE4001;07/03/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;TIENDA MIXTA LIMEL;CALLE 68 # 35-75;TIELIM01;14/02/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;TIENDA MIXTA LIMEL;CALLE 68 # 35-75;TIELIM01;28/02/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;TIENDA MIXTA LIMEL;CALLE 68 # 35-75;TIELIM01;07/03/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;TIENDA MIXTA MINCHO;CALLE 69 A # 42 -03;TIEMIN02;28/02/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;TIENDA MIXTA MINCHO;CALLE 69 A # 42 -03;TIEMIN02;07/03/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;VARIEDADES CHIPI CHAPE;CRA.  5   N? 5-50 VILLAMARIA;VARCHI01;28/02/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
JUAN CARLOS RENDON;ZC004;VARIEDADES CHIPI CHAPE;CRA.  5   N? 5-50 VILLAMARIA;VARCHI01;07/03/2011;2;0;0;0;1200;0;0;0;NUEVO ESTADIO;15/3/2011
